Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2011","2011","hg/ha","6414","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2012","2012","hg/ha","6757","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2013","2013","hg/ha","6757","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2014","2014","hg/ha","7167","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2015","2015","hg/ha","7200","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2016","2016","hg/ha","7075","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2017","2017","hg/ha","7149","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2018","2018","hg/ha","7142","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2019","2019","hg/ha","7123","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2020","2020","hg/ha","7138","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1961","1961","hg/ha","68018","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1962","1962","hg/ha","68018","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1963","1963","hg/ha","68018","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1964","1964","hg/ha","78298","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1965","1965","hg/ha","82258","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1966","1966","hg/ha","83212","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1967","1967","hg/ha","90196","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1968","1968","hg/ha","93311","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1969","1969","hg/ha","92763","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1970","1970","hg/ha","89216","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1971","1971","hg/ha","70261","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","515","Apples","1972","1972","hg/ha","84444","Fc","Calculated data"
