STATE,YEAR,PRODUCTION,YIELD
RAJASTHAN,2006,242371.34375,2.7590624999999998
RAJASTHAN,2007,222688.75,2.48125
RAJASTHAN,2008,224076.40625,2.6896875
RAJASTHAN,2009,229461.125,2.8046875
RAJASTHAN,2010,321912.09375,3.1315625000000002
RAJASTHAN,2011,321912.09375,3.1315625000000002
RAJASTHAN,2012,321912.09375,3.1315625000000002
SIKKIM,2003,2171.5,1.21
SIKKIM,2004,2062.5,1.3900000000000001
SIKKIM,2005,2300.0,1.5375
SIKKIM,2006,2590.0,1.57
SIKKIM,2007,1115.0,1.0
SIKKIM,2008,875.0,0.8825000000000001
SIKKIM,2009,1180.0,0.9299999999999999
SIKKIM,2010,677.5,1.03
SIKKIM,2011,662.5,1.065
SIKKIM,2012,137.5,1.0474999999999999
UTTAR PRADESH,2003,375191.71830985916,2.772253521126761
UTTAR PRADESH,2004,333333.2676056338,2.4719718309859156
UTTAR PRADESH,2005,335598.0,2.5432394366197184
UTTAR PRADESH,2006,362336.61971830984,2.7312676056338026
UTTAR PRADESH,2007,365584.6478873239,2.727605633802817
UTTAR PRADESH,2008,406358.21126760566,2.962676056338028
UTTAR PRADESH,2009,386059.75,2.8097222222222222
UTTAR PRADESH,2010,417504.55555555556,3.0825
UTTAR PRADESH,2011,444116.71830985916,3.258732394366197
UTTAR PRADESH,2012,423923.7042253521,3.223943661971831
