State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Eastern Equatoria ,Kapoeta East ,2012,corn,"12,033","8,664",0.720022272,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2012,corn,"7,300","5,840",0.80000274,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2012,corn,"5,128","2,462",0.480119342,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2012,corn,"16,822","14,804",0.880038759,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2012,corn,"15,846","17,748",1.120029534,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2012,corn,"17,280","13,824",0.800001157,eastern equatoria,torit
Eastern Equatoria ,Budi ,2013,corn,"15,660","13,781",0.880013538,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2013,corn,"20,602","19,778",0.960004077,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2013,corn,"10,764","6,028",0.560018952,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2013,corn,"6,540","4,186",0.640066666,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2013,corn,"3,842","1,844",0.47997189,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2013,corn,"12,334","10,854",0.880007459,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2013,corn,"20,844","25,013",1.200008636,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2013,corn,"16,820","12,110",0.719977884,eastern equatoria,torit
Eastern Equatoria ,Budi ,2014,corn,"22,066","21,184",0.960029185,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2014,corn,"23,295","22,363",0.959991586,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2014,corn,"17,431","11,156",0.640011244,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2014,corn,"9,630","6,163",0.63998297,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2014,corn,"7,419","4,748",0.639983286,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2014,corn,"14,717","11,774",0.800028538,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2014,corn,"38,119","45,742",1.199978488,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2014,corn,"18,285","19,016",1.039977906,eastern equatoria,torit
Eastern Equatoria ,Budi ,2015,corn,"20,524","16,419",0.79999123,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2015,corn,"23,993","21,114",0.880007169,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2015,corn,"11,670","5,602",0.480038731,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2015,corn,"8,927","4,999",0.559991487,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2015,corn,"6,419","3,081",0.479989407,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2015,corn,"15,159","10,914",0.719970183,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2015,corn,"33,653","40,384",1.200011292,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2015,corn,"18,833","15,067",0.800032921,eastern equatoria,torit
Eastern Equatoria ,Budi ,2016,corn,"19,072","15,258",0.800022022,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2016,corn,"22,651","19,933",0.880005828,eastern equatoria,ikotos
Eastern Equatoria ,Kapoeta East ,2016,corn,"12,033","8,664",0.720022272,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2016,corn,"7,300","5,840",0.80000274,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2016,corn,"5,128","2,462",0.480119342,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2016,corn,"16,822","14,804",0.880038759,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2016,corn,"15,846","17,748",1.120029534,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2016,corn,"17,280","13,824",0.800001157,eastern equatoria,torit
Eastern Equatoria ,Budi ,2017,corn,"15,660","13,781",0.880013538,eastern equatoria,budi
Eastern Equatoria ,Ikotos ,2017,corn,"20,602","19,778",0.960004077,eastern equatoria,ikotos
