,STATE,YEAR,Crop,YIELD
157,Pibor,2015,corn,0.880016046
158,Pibor,2016,corn,0.720095298
159,Pibor,2017,corn,0.799977399
160,Rabkona,2010,corn,1.0
161,Rabkona,2011,corn,0.480000061
162,Rabkona,2012,corn,0.479310405
163,Rabkona,2013,corn,0.479608568
164,Rabkona,2014,corn,1.0
165,Rabkona,2015,corn,0.480000061
166,Rabkona,2016,corn,0.479310405
167,Rabkona,2017,corn,0.479608568
168,Raja,2010,corn,1.12002424
169,Raja,2011,corn,0.959958202
170,Raja,2012,corn,0.960064536
171,Raja,2013,corn,0.960000994
172,Raja,2014,corn,1.12002424
173,Raja,2015,corn,0.959958202
174,Raja,2016,corn,0.960064536
175,Raja,2017,corn,0.960000994
176,Rumbek,2010,corn,1.119937033
177,Rumbek,2011,corn,0.799861723
178,Rumbek,2012,corn,0.800105738
179,Rumbek,2013,corn,0.959944719
180,Rumbek,2014,corn,1.119937033
181,Rumbek,2015,corn,0.799861723
182,Rumbek,2016,corn,0.800105738
183,Rumbek,2017,corn,0.959944719
184,Terkaka,2010,corn,0.880004998
185,Terkaka,2011,corn,0.559993882
186,Terkaka,2012,corn,0.720041045
187,Terkaka,2013,corn,0.80001395
188,Terkaka,2014,corn,0.880004998
189,Terkaka,2015,corn,0.559993882
190,Terkaka,2016,corn,0.720041045
191,Terkaka,2017,corn,0.80001395
192,Tombura,2010,corn,1.120022613
193,Tombura,2011,corn,1.040014824
194,Tombura,2012,corn,1.03999638
195,Tombura,2013,corn,1.119992135
196,Tombura,2014,corn,1.120022613
197,Tombura,2015,corn,1.040014824
198,Tombura,2016,corn,1.03999638
199,Tombura,2017,corn,1.119992135
200,Tonj,2010,corn,1.039987989
201,Tonj,2011,corn,1.040015845
202,Tonj,2012,corn,1.039997207
203,Tonj,2013,corn,1.039991359
204,Tonj,2014,corn,1.039987989
205,Tonj,2015,corn,1.040015845
206,Tonj,2016,corn,1.039997207
207,Tonj,2017,corn,1.039991359
208,Wau,2010,corn,1.120000819
209,Wau,2011,corn,0.879986493
210,Wau,2012,corn,0.880007237
211,Wau,2013,corn,0.880034421
212,Wau,2014,corn,1.120000819
213,Wau,2015,corn,0.879986493
214,Wau,2016,corn,0.880007237
215,Wau,2017,corn,0.880034421
216,Yambio,2010,corn,1.19999947
217,Yambio,2011,corn,1.040022801
218,Yambio,2012,corn,1.039996234
219,Yambio,2013,corn,1.080001428
220,Yambio,2014,corn,1.19999947
221,Yambio,2015,corn,1.040022801
222,Yambio,2016,corn,1.039996234
223,Yambio,2017,corn,1.080001428
224,Yerol,2010,corn,0.640062185
225,Yerol,2011,corn,0.640070604
226,Yerol,2012,corn,0.639922996
227,Yerol,2013,corn,0.63988388
228,Yerol,2014,corn,0.640062185
229,Yerol,2015,corn,0.640070604
230,Yerol,2016,corn,0.639922996
231,Yerol,2017,corn,0.63988388
